"","Provider.ID","Hospital.overall.rating"
"999",110150,"3"
"1000",110153,"3"
"1001",110161,"4"
"1002",110164,"3"
"1003",110165,"2"
"1004",110168,"4"
"1005",110177,"2"
"1006",110184,"3"
"1007",110187,"3"
"1008",110189,"3"
"1009",110190,"Not Available"
"1010",110191,"1"
"1011",110192,"3"
"1012",110194,"3"
"1013",110198,"2"
"1014",110200,"5"
"1015",110201,"4"
"1016",110205,"3"
"1017",110209,"Not Available"
"1018",110215,"2"
"1019",110225,"3"
"1020",110226,"2"
"1021",110229,"3"
"1022",110230,"3"
"1023",110233,"4"
"1024",110234,"Not Available"
"1025",111300,"Not Available"
"1026",111302,"Not Available"
"1027",111303,"Not Available"
"1028",111304,"Not Available"
"1029",111305,"Not Available"
"1030",111306,"3"
"1031",111308,"Not Available"
"1032",111310,"3"
"1033",111311,"Not Available"
"1034",111312,"Not Available"
"1035",111313,"3"
"1036",111314,"Not Available"
"1037",111316,"Not Available"
"1038",111318,"3"
"1039",111319,"Not Available"
"1040",111320,"3"
"1041",111323,"Not Available"
"1042",111324,"4"
"1043",111325,"3"
"1044",111326,"Not Available"
"1045",111327,"3"
"1046",111328,"Not Available"
"1047",111329,"3"
"1048",111330,"Not Available"
"1049",111331,"Not Available"
"1050",111332,"Not Available"
"1051",111333,"3"
"1052",111334,"Not Available"
"1053",111335,"3"
"1054",111336,"Not Available"
"1055",113300,"Not Available"
"1056",113301,"Not Available"
"1057",120001,"4"
"1058",120002,"3"
"1059",120004,"2"
"1060",120005,"4"
"1061",120006,"3"
"1062",120007,"3"
"1063",120011,"3"
"1064",120014,"4"
"1065",120019,"2"
"1066",120022,"5"
"1067",120026,"4"
"1068",120028,"3"
"1069",121300,"3"
"1070",121301,"Not Available"
"1071",121302,"Not Available"
"1072",121303,"Not Available"
"1073",121304,"Not Available"
"1074",121305,"Not Available"
"1075",121306,"Not Available"
"1076",121307,"Not Available"
"1077",121308,"Not Available"
"1078",123300,"Not Available"
"1079",123301,"Not Available"
"1080",130002,"3"
"1081",130003,"3"
"1082",130006,"5"
"1083",130007,"3"
"1084",130013,"4"
"1085",130014,"4"
"1086",130018,"4"
"1087",130025,"3"
"1088",130028,"4"
"1089",130049,"3"
"1090",130063,"Not Available"
"1091",130065,"4"
"1092",130066,"4"
"1093",130067,"Not Available"
"1094",131301,"Not Available"
"1095",131302,"4"
"1096",131303,"Not Available"
"1097",131304,"Not Available"
"1098",131305,"Not Available"
"1099",131307,"Not Available"
"1100",131308,"Not Available"
"1101",131309,"Not Available"
"1102",131310,"Not Available"
"1103",131311,"4"
"1104",131312,"Not Available"
"1105",131313,"Not Available"
"1106",131314,"Not Available"
"1107",131315,"3"
"1108",131316,"Not Available"
"1109",131317,"Not Available"
"1110",131318,"Not Available"
"1111",131319,"Not Available"
"1112",131320,"3"
"1113",131321,"4"
"1114",131322,"Not Available"
"1115",131323,"Not Available"
"1116",131324,"Not Available"
"1117",131325,"4"
"1118",131326,"4"
"1119",131327,"4"
"1120",131328,"3"
"1121",140001,"3"
"1122",140002,"3"
"1123",140007,"2"
"1124",140008,"3"
"1125",140010,"3"
"1126",140011,"3"
"1127",140012,"3"
"1128",140013,"3"
"1129",140015,"3"
"1130",140018,"1"
"1131",140019,"3"
"1132",140029,"3"
"1133",140030,"4"
"1134",140032,"4"
"1135",140033,"Not Available"
"1136",140034,"4"
"1137",140040,"3"
"1138",140043,"4"
"1139",140046,"2"
"1140",140048,"3"
"1141",140049,"3"
"1142",140052,"3"
"1143",140053,"3"
"1144",140054,"2"
"1145",140058,"3"
"1146",140059,"3"
"1147",140062,"4"
"1148",140063,"4"
"1149",140064,"3"
"1150",140065,"5"
"1151",140067,"2"
"1152",140068,"2"
"1153",140077,"2"
"1154",140080,"2"
"1155",140082,"2"
"1156",140083,"3"
"1157",140084,"3"
"1158",140088,"3"
"1159",140089,"3"
"1160",140091,"3"
"1161",140093,"3"
"1162",140095,"3"
"1163",140100,"4"
"1164",140101,"4"
"1165",140103,"2"
"1166",140110,"3"
"1167",140113,"3"
"1168",140114,"3"
"1169",140115,"2"
"1170",140116,"4"
"1171",140117,"4"
"1172",140118,"2"
"1173",140119,"4"
"1174",140120,"3"
"1175",140122,"4"
"1176",140124,"2"
"1177",140125,"2"
"1178",140127,"3"
"1179",140130,"3"
"1180",140133,"1"
"1181",140135,"3"
"1182",140137,"4"
"1183",140143,"4"
"1184",140145,"5"
"1185",140147,"3"
"1186",140148,"2"
"1187",140150,"1"
"1188",140155,"3"
"1189",140158,"2"
"1190",140160,"3"
"1191",140161,"4"
"1192",140162,"4"
"1193",140164,"3"
"1194",140166,"2"
"1195",140167,"2"
"1196",140172,"1"
"1197",140174,"3"
"1198",140176,"4"
"1199",140177,"1"
"1200",140179,"2"
"1201",140180,"4"
"1202",140181,"2"
"1203",140182,"2"
"1204",140184,"2"
"1205",140185,"4"
"1206",140186,"5"
"1207",140187,"2"
"1208",140189,"3"
"1209",140191,"3"
"1210",140197,"3"
"1211",140200,"4"
"1212",140202,"5"
"1213",140206,"2"
"1214",140208,"3"
"1215",140209,"4"
"1216",140210,"3"
"1217",140211,"4"
"1218",140213,"4"
"1219",140217,"3"
"1220",140223,"3"
"1221",140224,"2"
"1222",140228,"4"
"1223",140231,"3"
"1224",140233,"3"
"1225",140234,"4"
"1226",140239,"3"
"1227",140240,"3"
"1228",140242,"3"
"1229",140250,"4"
"1230",140251,"3"
"1231",140252,"3"
"1232",140258,"4"
"1233",140275,"3"
"1234",140276,"2"
"1235",140280,"2"
"1236",140281,"3"
"1237",140286,"4"
"1238",140288,"4"
"1239",140289,"3"
"1240",140290,"4"
"1241",140291,"5"
"1242",140292,"3"
"1243",140294,"3"
"1244",140300,"3"
"1245",140304,"2"
"1246",141300,"Not Available"
"1247",141301,"3"
"1248",141302,"Not Available"
"1249",141303,"Not Available"
"1250",141304,"Not Available"
"1251",141305,"4"
"1252",141306,"Not Available"
"1253",141307,"Not Available"
"1254",141308,"Not Available"
"1255",141309,"4"
"1256",141310,"4"
"1257",141311,"3"
"1258",141312,"4"
"1259",141313,"3"
"1260",141315,"3"
"1261",141316,"3"
"1262",141317,"4"
"1263",141318,"4"
"1264",141319,"4"
"1265",141320,"4"
"1266",141321,"3"
"1267",141322,"4"
"1268",141323,"4"
"1269",141324,"2"
"1270",141325,"3"
"1271",141326,"Not Available"
"1272",141327,"4"
"1273",141328,"Not Available"
"1274",141329,"Not Available"
"1275",141330,"Not Available"
"1276",141331,"3"
"1277",141332,"2"
"1278",141333,"3"
"1279",141334,"3"
"1280",141335,"4"
"1281",141336,"4"
"1282",141337,"3"
"1283",141338,"3"
"1284",141339,"4"
"1285",141340,"4"
"1286",141341,"Not Available"
"1287",141342,"3"
"1288",141343,"3"
"1289",141344,"Not Available"
"1290",141345,"3"
"1291",141346,"4"
